Date,N Hot Pixel,meanTI,maxTI,maxDist,maxDist Summit,N Hot Pixel Summit,N Cluster
13-Aug-2018 15:01:06,51,1.35327450980392,1.9464,304.630924234556,304.630924234556,51,1
18-Aug-2018 15:02:09,25,1.442356,2.4459,268.328157299975,268.328157299975,25,1
23-Aug-2018 15:02:45,67,0.797838805970149,1.1372,291.204395571221,291.204395571221,67,1
28-Aug-2018 14:58:54,24,1.62350416666667,2.3625,223.606797749979,223.606797749979,24,3
02-Sep-2018 15:06:24,8,0.5202125,0.6537,164.924225024706,164.924225024706,8,1
07-Sep-2018 15:02:08,29,1.25373448275862,2.2047,260,260,29,2
12-Sep-2018 14:58:25,5,0.63234,0.7824,243.310501211929,243.310501211929,5,2
17-Sep-2018 15:03:07,0,NaN,NaN,NaN,NaN,0,0
22-Sep-2018 15:00:04,25,0.994384,1.6421,189.736659610103,189.736659610103,25,2
27-Sep-2018 15:03:47,0,NaN,NaN,NaN,NaN,0,0
02-Oct-2018 15:01:07,29,1.03394482758621,1.4743,228.035085019828,228.035085019828,29,1
07-Oct-2018 15:04:49,0,NaN,NaN,NaN,NaN,0,0
17-Oct-2018 15:05:33,0,NaN,NaN,NaN,NaN,0,0
22-Oct-2018 15:02:43,36,1.00856388888889,1.5268,228.035085019828,228.035085019828,36,1
27-Oct-2018 15:05:36,0,NaN,NaN,NaN,NaN,0,0
01-Nov-2018 15:03:45,0,NaN,NaN,NaN,NaN,0,0
06-Nov-2018 15:07:18,42,1.34375952380952,1.79,223.606797749979,223.606797749979,42,3
11-Nov-2018 15:07:20,34,1.13118823529412,1.551,200,200,34,2
16-Nov-2018 15:07:17,32,1.098621875,1.7018,215.40659228538,215.40659228538,32,2
21-Nov-2018 15:07:20,0,NaN,NaN,NaN,NaN,0,0
01-Dec-2018 15:07:18,43,0.912420930232558,1.6208,252.98221281347,252.98221281347,43,4
06-Dec-2018 15:07:14,0,NaN,NaN,NaN,NaN,0,0
11-Dec-2018 15:07:16,22,0.857172727272727,1.4006,228.035085019828,228.035085019828,22,3
16-Dec-2018 15:07:14,0,NaN,NaN,NaN,NaN,0,0
21-Dec-2018 15:07:18,22,1.10556363636364,1.7085,189.736659610103,189.736659610103,22,2
26-Dec-2018 15:07:16,0,NaN,NaN,NaN,NaN,0,0
